pair_id,reference_path,search_path,gt_x,gt_y,pred_x,pred_y,error_px,inference_time_ms,architecture,noise_type
pair_001,all_60_pairs/pair_001/reference.png,all_60_pairs/pair_001/search.png,430,570,430,570,0.0,1353.65,N/A,N/A
pair_002,all_60_pairs/pair_002/reference.png,all_60_pairs/pair_002/search.png,650,350,650,350,0.0,49.89,N/A,N/A
pair_003,all_60_pairs/pair_003/reference.png,all_60_pairs/pair_003/search.png,620,390,620,390,0.0,49.35,N/A,N/A
pair_004,all_60_pairs/pair_004/reference.png,all_60_pairs/pair_004/search.png,350,630,350,630,0.0,46.87,N/A,N/A
pair_005,all_60_pairs/pair_005/reference.png,all_60_pairs/pair_005/search.png,380,640,380,640,0.0,50.22,N/A,N/A
pair_006,all_60_pairs/pair_006/reference.png,all_60_pairs/pair_006/search.png,300,700,300,700,0.0,70.36,N/A,N/A
pair_007,all_60_pairs/pair_007/reference.png,all_60_pairs/pair_007/search.png,560,420,560,420,0.0,48.49,N/A,N/A
pair_008,all_60_pairs/pair_008/reference.png,all_60_pairs/pair_008/search.png,350,630,351,630,1.0,46.89,N/A,N/A
pair_009,all_60_pairs/pair_009/reference.png,all_60_pairs/pair_009/search.png,410,630,410,630,0.0,48.73,N/A,N/A
pair_010,all_60_pairs/pair_010/reference.png,all_60_pairs/pair_010/search.png,420,580,420,580,0.0,48.71,N/A,N/A
pair_011,all_60_pairs/pair_011/reference.png,all_60_pairs/pair_011/search.png,640,370,640,370,0.0,49.23,N/A,N/A
pair_012,all_60_pairs/pair_012/reference.png,all_60_pairs/pair_012/search.png,500,335,500,335,0.0,47.42,N/A,N/A
pair_013,all_60_pairs/pair_013/reference.png,all_60_pairs/pair_013/search.png,390,580,390,580,0.0,49.84,N/A,N/A
pair_014,all_60_pairs/pair_014/reference.png,all_60_pairs/pair_014/search.png,310,500,310,880,380.0,48.17,N/A,N/A
pair_015,all_60_pairs/pair_015/reference.png,all_60_pairs/pair_015/search.png,570,410,570,410,0.0,49.57,N/A,N/A
pair_016,all_60_pairs/pair_016/reference.png,all_60_pairs/pair_016/search.png,310,500,310,500,0.0,72.23,N/A,N/A
pair_017,all_60_pairs/pair_017/reference.png,all_60_pairs/pair_017/search.png,440,620,440,620,0.0,47.64,N/A,N/A
pair_018,all_60_pairs/pair_018/reference.png,all_60_pairs/pair_018/search.png,500,500,500,500,0.0,47.48,N/A,N/A
pair_019,all_60_pairs/pair_019/reference.png,all_60_pairs/pair_019/search.png,610,360,610,360,0.0,48.68,N/A,N/A
pair_020,all_60_pairs/pair_020/reference.png,all_60_pairs/pair_020/search.png,488,314,200,794,559.77,49.17,N/A,N/A
pair_021,all_60_pairs/pair_021/reference.png,all_60_pairs/pair_021/search.png,370,550,370,550,0.0,48.1,N/A,N/A
pair_022,all_60_pairs/pair_022/reference.png,all_60_pairs/pair_022/search.png,500,310,500,310,0.0,49.04,N/A,N/A
pair_023,all_60_pairs/pair_023/reference.png,all_60_pairs/pair_023/search.png,590,440,590,440,0.0,47.88,N/A,N/A
pair_024,all_60_pairs/pair_024/reference.png,all_60_pairs/pair_024/search.png,500,310,500,312,2.0,48.71,N/A,N/A
pair_025,all_60_pairs/pair_025/reference.png,all_60_pairs/pair_025/search.png,420,610,420,610,0.0,46.88,N/A,N/A
pair_026,all_60_pairs/pair_026/reference.png,all_60_pairs/pair_026/search.png,500,310,500,310,0.0,40.58,N/A,N/A
pair_027,all_60_pairs/pair_027/reference.png,all_60_pairs/pair_027/search.png,630,390,630,390,0.0,48.12,N/A,N/A
pair_028,all_60_pairs/pair_028/reference.png,all_60_pairs/pair_028/search.png,500,310,500,310,0.0,49.3,N/A,N/A
pair_029,all_60_pairs/pair_029/reference.png,all_60_pairs/pair_029/search.png,390,580,390,580,0.0,48.35,N/A,N/A
pair_030,all_60_pairs/pair_030/reference.png,all_60_pairs/pair_030/search.png,500,310,500,310,0.0,48.56,N/A,N/A
pair_031,all_60_pairs/pair_031/reference.png,all_60_pairs/pair_031/search.png,580,430,580,430,0.0,47.43,N/A,N/A
pair_032,all_60_pairs/pair_032/reference.png,all_60_pairs/pair_032/search.png,500,310,500,310,0.0,48.03,N/A,N/A
pair_033,all_60_pairs/pair_033/reference.png,all_60_pairs/pair_033/search.png,440,610,440,610,0.0,48.58,N/A,N/A
pair_034,all_60_pairs/pair_034/reference.png,all_60_pairs/pair_034/search.png,500,310,500,310,0.0,47.55,N/A,N/A
pair_035,all_60_pairs/pair_035/reference.png,all_60_pairs/pair_035/search.png,620,370,620,370,0.0,49.31,N/A,N/A
pair_036,all_60_pairs/pair_036/reference.png,all_60_pairs/pair_036/search.png,500,310,500,310,0.0,47.62,N/A,N/A
pair_037,all_60_pairs/pair_037/reference.png,all_60_pairs/pair_037/search.png,370,560,370,560,0.0,48.55,N/A,N/A
pair_038,all_60_pairs/pair_038/reference.png,all_60_pairs/pair_038/search.png,500,310,500,310,0.0,66.03,N/A,N/A
pair_039,all_60_pairs/pair_039/reference.png,all_60_pairs/pair_039/search.png,560,410,560,410,0.0,58.49,N/A,N/A
pair_040,all_60_pairs/pair_040/reference.png,all_60_pairs/pair_040/search.png,500,310,500,310,0.0,61.84,N/A,N/A
