pair_id,reference_path,search_path,gt_x,gt_y,pred_x,pred_y,error_px,inference_time_ms,architecture,noise_type
pair_001,model/all_60_pairs/pair_001/reference.png,model/all_60_pairs/pair_001/search.png,430,570,430,570,0.0,139.86,N/A,N/A
pair_002,model/all_60_pairs/pair_002/reference.png,model/all_60_pairs/pair_002/search.png,650,350,650,350,0.0,40.46,N/A,N/A
pair_003,model/all_60_pairs/pair_003/reference.png,model/all_60_pairs/pair_003/search.png,620,390,620,390,0.0,42.54,N/A,N/A
pair_004,model/all_60_pairs/pair_004/reference.png,model/all_60_pairs/pair_004/search.png,350,630,560,490,252.39,40.52,N/A,N/A
pair_005,model/all_60_pairs/pair_005/reference.png,model/all_60_pairs/pair_005/search.png,380,640,380,640,0.0,43.6,N/A,N/A
pair_006,model/all_60_pairs/pair_006/reference.png,model/all_60_pairs/pair_006/search.png,300,700,300,700,0.0,64.84,N/A,N/A
pair_007,model/all_60_pairs/pair_007/reference.png,model/all_60_pairs/pair_007/search.png,560,420,560,420,0.0,43.8,N/A,N/A
pair_008,model/all_60_pairs/pair_008/reference.png,model/all_60_pairs/pair_008/search.png,350,630,351,630,1.0,42.35,N/A,N/A
pair_009,model/all_60_pairs/pair_009/reference.png,model/all_60_pairs/pair_009/search.png,410,630,410,630,0.0,44.42,N/A,N/A
pair_010,model/all_60_pairs/pair_010/reference.png,model/all_60_pairs/pair_010/search.png,420,580,420,260,320.0,45.86,N/A,N/A
pair_011,model/all_60_pairs/pair_011/reference.png,model/all_60_pairs/pair_011/search.png,640,370,640,370,0.0,43.83,N/A,N/A
pair_012,model/all_60_pairs/pair_012/reference.png,model/all_60_pairs/pair_012/search.png,500,335,500,335,0.0,42.56,N/A,N/A
pair_013,model/all_60_pairs/pair_013/reference.png,model/all_60_pairs/pair_013/search.png,390,580,390,580,0.0,43.28,N/A,N/A
pair_014,model/all_60_pairs/pair_014/reference.png,model/all_60_pairs/pair_014/search.png,310,500,310,880,380.0,42.44,N/A,N/A
pair_015,model/all_60_pairs/pair_015/reference.png,model/all_60_pairs/pair_015/search.png,570,410,570,410,0.0,42.94,N/A,N/A
pair_016,model/all_60_pairs/pair_016/reference.png,model/all_60_pairs/pair_016/search.png,310,500,310,500,0.0,67.8,N/A,N/A
pair_017,model/all_60_pairs/pair_017/reference.png,model/all_60_pairs/pair_017/search.png,440,620,440,620,0.0,43.23,N/A,N/A
pair_018,model/all_60_pairs/pair_018/reference.png,model/all_60_pairs/pair_018/search.png,500,500,500,500,0.0,44.25,N/A,N/A
